INFO 2026-01-07 18:32:21,393 autoreload Watching for file changes with StatReloader
INFO 2026-01-07 18:35:59,761 log "GET /api/carpetas/ HTTP/1.1" 200 2
INFO 2026-01-07 18:36:01,419 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:36:01,430 log "GET /api/gastos/resumen_mensual/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:36:01,442 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:36:01,539 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:36:01,544 log "GET /api/gastos/resumen_mensual/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:36:01,558 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:36:14,360 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:36:14,368 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:36:14,402 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:36:14,460 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:36:14,480 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:36:14,507 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:36:16,257 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:36:16,265 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:36:16,271 log "GET /api/gastos/resumen_mensual/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:36:16,359 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:36:16,384 log "GET /api/gastos/resumen_mensual/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:36:16,407 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:36:25,441 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:36:25,505 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:36:26,343 log "GET /api/albumes/ HTTP/1.1" 200 115
INFO 2026-01-07 18:36:26,413 log "GET /api/albumes/ HTTP/1.1" 200 115
INFO 2026-01-07 18:36:27,317 log "GET /api/materiales/ HTTP/1.1" 200 2
INFO 2026-01-07 18:36:27,327 log "GET /api/inventario-movimientos/ HTTP/1.1" 200 2
INFO 2026-01-07 18:36:27,400 log "GET /api/materiales/ HTTP/1.1" 200 2
INFO 2026-01-07 18:36:27,405 log "GET /api/inventario-movimientos/ HTTP/1.1" 200 2
INFO 2026-01-07 18:36:28,862 log "GET /api/carpetas/ HTTP/1.1" 200 2
INFO 2026-01-07 18:36:28,916 log "GET /api/carpetas/ HTTP/1.1" 200 2
INFO 2026-01-07 18:36:29,969 log "GET /api/albumes/ HTTP/1.1" 200 115
INFO 2026-01-07 18:36:30,042 log "GET /api/albumes/ HTTP/1.1" 200 115
INFO 2026-01-07 18:36:30,302 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:36:30,356 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:36:30,714 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:36:30,728 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:36:30,740 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:36:30,863 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:36:30,876 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:36:30,903 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:36:31,231 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:36:31,243 log "GET /api/gastos/resumen_mensual/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:36:31,257 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:36:31,356 log "GET /api/gastos/resumen_mensual/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:36:31,367 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:36:31,386 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:36:32,635 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:36:32,641 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:36:32,652 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:36:32,738 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:36:32,773 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:36:32,778 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:36:34,283 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:36:34,344 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:36:34,958 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:36:34,963 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:36:34,984 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:36:35,052 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:36:35,077 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:36:35,131 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:36:35,750 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:36:35,755 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:36:35,759 log "GET /api/gastos/resumen_mensual/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:36:35,924 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:36:35,928 log "GET /api/gastos/resumen_mensual/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:36:35,929 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:36:37,033 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:36:37,091 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:36:37,822 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:36:37,822 log "GET /api/gastos/resumen_mensual/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:36:37,848 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:36:37,920 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:36:37,950 log "GET /api/gastos/resumen_mensual/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:36:37,970 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:38:03,515 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:38:03,522 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:38:03,540 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:38:03,644 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:38:03,681 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:38:03,699 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:38:04,930 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:38:05,010 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:38:05,836 log "GET /api/carpetas/ HTTP/1.1" 200 2
INFO 2026-01-07 18:38:05,902 log "GET /api/carpetas/ HTTP/1.1" 200 2
INFO 2026-01-07 18:38:06,526 log "GET /api/inventario-movimientos/ HTTP/1.1" 200 2
INFO 2026-01-07 18:38:06,533 log "GET /api/materiales/ HTTP/1.1" 200 2
INFO 2026-01-07 18:38:06,628 log "GET /api/materiales/ HTTP/1.1" 200 2
INFO 2026-01-07 18:38:06,628 log "GET /api/inventario-movimientos/ HTTP/1.1" 200 2
INFO 2026-01-07 18:38:08,193 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:38:08,200 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:38:08,232 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:38:08,343 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:38:08,387 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:38:08,402 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:38:08,594 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:38:08,633 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:38:08,648 log "GET /api/gastos/resumen_mensual/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:38:08,734 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:38:08,807 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:38:08,807 log "GET /api/gastos/resumen_mensual/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:41:25,348 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:41:25,349 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:41:25,354 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:41:25,447 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:41:25,499 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:41:25,504 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:41:26,251 log "GET /api/gastos/resumen_mensual/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:41:26,262 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:41:26,274 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:41:26,405 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:41:26,418 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:41:26,418 log "GET /api/gastos/resumen_mensual/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:41:28,691 log "GET /api/materiales/ HTTP/1.1" 200 2
INFO 2026-01-07 18:41:28,714 log "GET /api/inventario-movimientos/ HTTP/1.1" 200 2
INFO 2026-01-07 18:41:28,800 log "GET /api/materiales/ HTTP/1.1" 200 2
INFO 2026-01-07 18:41:28,818 log "GET /api/inventario-movimientos/ HTTP/1.1" 200 2
INFO 2026-01-07 18:41:29,668 log "GET /api/carpetas/ HTTP/1.1" 200 2
INFO 2026-01-07 18:41:29,737 log "GET /api/carpetas/ HTTP/1.1" 200 2
INFO 2026-01-07 18:41:30,611 log "GET /api/albumes/ HTTP/1.1" 200 115
INFO 2026-01-07 18:41:30,701 log "GET /api/albumes/ HTTP/1.1" 200 115
INFO 2026-01-07 18:41:31,692 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:41:31,699 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:41:31,741 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:41:31,803 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:41:31,829 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:41:31,863 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:41:35,748 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:41:35,766 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:41:35,783 log "GET /api/gastos/resumen_mensual/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:41:35,944 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:41:35,944 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:41:36,008 log "GET /api/gastos/resumen_mensual/?proyecto=1 HTTP/1.1" 200 2
